iter	Passed	Remaining
220	34543	121762
221	34739	121743
222	34887	121558
223	35094	121575
224	35272	121495
225	35435	121357
226	35583	121172
227	35765	121101
228	35923	120946
229	36065	120741
230	36209	120541
231	36340	120298
232	36474	120067
233	36641	119944
234	36803	119806
235	36941	119591
236	37068	119337
237	37192	119077
238	37342	118902
239	37498	118746
240	37681	118672
241	37856	118575
242	37986	118336
243	38136	118159
244	38290	117998
245	38467	117903
246	38649	117826
247	38802	117659
248	38958	117501
249	39130	117391
250	39276	117203
251	39428	117034
252	39572	116841
253	39712	116635
254	39882	116519
255	40022	116315
256	40167	116127
257	40336	116005
258	40521	115931
259	40673	115761
260	40878	115743
261	41060	115658
262	41242	115573
263	41441	115533
264	41607	115400
265	41754	115217
266	41899	115028
267	42069	114905
268	42200	114677
269	42350	114504
270	42505	114342
271	42669	114204
272	42821	114033
273	42963	113836
274	43128	113702
275	43300	113586
276	43462	113441
277	43644	113349
278	43766	113101
279	43919	112936
280	44125	112904
281	44297	112785
282	44445	112606
283	44608	112462
284	44751	112271
285	44900	112094
286	45077	111987
287	45256	111884
288	45414	111729
289	45615	111680
290	45773	111523
291	45905	111304
292	46035	111083
293	46206	110959
294	46413	110920
295	46582	110790
296	46723	110594
297	46878	110432
298	47034	110271
299	47179	110084
300	47328	109908
301	47460	109693
302	47594	109482
303	47730	109277
304	47869	109079
305	48009	108884
306	48171	108737
307	48319	108561
308	48475	108402
309	48626	108233
310	48800	108115
311	48991	108033
312	49173	107929
313	49305	107718
314	49448	107531
315	49614	107392
316	49721	107128
317	49843	106897
318	49969	106673
319	50112	106489
320	50211	106210
321	50341	105999
322	50480	105805
323	50594	105561
324	50706	105314
325	50823	105076
326	50958	104877
327	51081	104654
328	51196	104416
329	51327	104210
330	51457	104002
331	51578	103778
332	51683	103521
333	51789	103268
334	51895	103016
335	52004	102770
336	52114	102528
337	52247	102331
338	52377	102128
339	52520	101952
340	52623	101697
341	52744	101478
342	52863	101257
343	52969	101011
344	53081	100777
345	53196	100551
346	53309	100320
347	53454	100150
348	53581	99946
349	53685	99701
350	53800	99476
351	53910	99243
352	54014	99001
353	54150	98817
354	54275	98613
355	54441	98483
356	54550	98252
357	54654	98012
358	54760	97776
359	54876	97558
360	54995	97347
361	55109	97126
362	55216	96895
363	55321	96661
364	55490	96538
365	55650	96399
366	55776	96202
367	55882	95971
368	55986	95738
369	56096	95515
370	56216	95309
371	56326	95088
372	56483	94947
373	56611	94755
374	56725	94542
375	56824	94305
376	56937	94089
377	57062	93895
378	57174	93681
379	57282	93461
380	57435	93313
381	57547	93099
382	57660	92889
383	57765	92665
384	57876	92452
385	57982	92231
386	58091	92015
387	58216	91826
388	58330	91619
389	58456	91432
390	58563	91215
391	58677	91010
392	58775	90780
393	58884	90569
394	58981	90338
395	59104	90149
396	59251	89996
397	59383	89821
398	59502	89626
399	59618	89427
400	59717	89204
401	59838	89013
402	59972	88842
403	60076	88627
404	60185	88420
405	60310	88237
406	60451	88078
407	60594	87921
408	60735	87761
409	60870	87594
410	61020	87448
411	61125	87237
412	61243	87045
413	61384	86887
414	61499	86691
415	61609	86490
416	61719	86288
417	61829	86088
418	61929	85873
419	62020	85647
420	62132	85450
421	62236	85243
422	62370	85077
423	62487	84888
424	62593	84685
425	62703	84488
426	62806	84281
427	62906	84071
428	63015	83873
429	63140	83697
430	63247	83498
431	63372	83323
432	63483	83130
433	63587	82927
434	63684	82717
435	63795	82524
436	63891	82313
437	63987	82102
438	64093	81904
439	64214	81727
440	64354	81573
441	64456	81373
442	64573	81191
443	64686	81003
444	64794	80811
445	64904	80621
446	65009	80425
447	65123	80241
448	65233	80052
449	65362	79887
450	65456	79679
451	65548	79470
452	65645	79267
453	65756	79081
454	65859	78886
455	65958	78687
456	66066	78499
457	66164	78299
458	66274	78114
459	66406	77955
460	66512	77766
461	66634	77595
462	66730	77396
463	66850	77223
464	66955	77035
465	67048	76832
466	67156	76647
467	67263	76462
468	67387	76296
469	67510	76128
470	67626	75953
471	67737	75774
472	67841	75586
473	67967	75424
474	68092	75259
475	68203	75080
476	68315	74903
477	68438	74738
478	68562	74574
479	68679	74402
480	68793	74228
481	68908	74055
482	69026	73885
483	69155	73727
484	69266	73551
485	69433	73433
486	69540	73252
487	69651	73076
488	69751	72889
489	69846	72697
490	69949	72514
491	70068	72347
492	70170	72163
493	70283	71990
494	70403	71825
495	70511	71649
496	70607	71459
497	70711	71279
498	70807	71091
499	70937	70937
500	71044	70760
501	71165	70598
502	71283	70433
503	71400	70266
504	71505	70089
505	71630	69932
506	71748	69766
507	71860	69597
508	71979	69434
509	72086	69259
510	72197	69089
511	72311	68922
512	72417	68746
513	72531	68580
514	72638	68407
515	72750	68238
516	72864	68072
517	72980	67908
518	73082	67731
519	73186	67557
520	73303	67394
521	73408	67221
522	73525	67058
523	73629	66885
524	73741	66718
525	73844	66544
526	73974	66394
527	74078	66222
528	74190	66055
529	74307	65895
530	74410	65722
531	74508	65545
532	74599	65362
533	74706	65193
534	74798	65011
535	74884	64825
536	74966	64635
537	75058	64455
538	75160	64284
539	75252	64103
540	75339	63920
541	75423	63733
542	75527	63565
543	75610	63379
544	75707	63205
545	75800	63027
546	75891	62849
547	75986	62674
548	76067	62488
549	76168	62319
550	76279	62158
551	76381	61990
552	76457	61801
553	76542	61621
554	76624	61437
555	76731	61274
556	76815	61094
557	76886	60903
558	76983	60732
559	77087	60568
560	77171	60389
561	77250	60205
562	77324	60019
563	77400	59834
564	77470	59645
565	77553	59467
566	77667	59312
567	77781	59157
568	77892	59001
569	78014	58853
570	78139	58706
571	78232	58537
572	78329	58370
573	78456	58226
574	78573	58075
575	78670	57910
576	78768	57745
577	78877	57588
578	78982	57429
579	79108	57285
580	79221	57132
581	79316	56965
582	79432	56815
583	79535	56655
584	79640	56497
585	79747	56340
586	79875	56198
587	79976	56037
588	80074	55875
589	80170	55711
590	80280	55557
591	80366	55388
592	80457	55221
593	80556	55060
594	80654	54899
595	80742	54731
596	80835	54567
597	80946	54415
598	81031	54246
599	81124	54082
600	81229	53927
601	81334	53772
602	81432	53612
603	81519	53446
604	81610	53283
605	81696	53115
606	81797	52959
607	81909	52810
608	82002	52648
609	82112	52498
610	82222	52347
611	82319	52189
612	82416	52031
613	82514	51874
614	82644	51737
615	82764	51593
616	82866	51438
617	82989	51297
618	83099	51148
619	83220	51006
620	83330	50856
621	83457	50718
622	83561	50566
623	83673	50418
624	83790	50274
625	83898	50124
626	84008	49976
627	84117	49827
628	84227	49679
629	84332	49528
630	84435	49376
631	84538	49225
632	84632	49068
633	84745	48922
634	84850	48772
635	84967	48629
636	85089	48489
637	85200	48342
638	85329	48206
639	85433	48056
640	85531	47903
641	85649	47760
642	85771	47621
643	85911	47491
644	86038	47354
645	86166	47218
646	86287	47077
647	86388	46926
648	86488	46776
649	86586	46623
650	86645	46450
651	86747	46300
652	86834	46143
653	86925	45988
654	87030	45840
655	87123	45686
656	87242	45546
657	87355	45403
658	87474	45263
659	87570	45112
660	87664	44959
661	87792	44824
662	87902	44680
663	88013	44536
664	88120	44391
665	88219	44242
666	88331	44099
667	88425	43947
668	88542	43808
669	88635	43656
670	88745	43512
671	88861	43372
672	88948	43218
673	89037	43065
674	89150	42924
675	89266	42784
676	89359	42633
677	89472	42492
678	89581	42350
679	89685	42204
680	89805	42067
681	89923	41929
682	90037	41788
683	90158	41652
684	90249	41501
685	90341	41351
686	90441	41205
687	90537	41057
688	90655	40920
689	90758	40775
690	90848	40625
691	90934	40473
692	91012	40318
693	91103	40169
694	91159	40005
695	91237	39850
696	91307	39693
697	91360	39528
698	91419	39366
699	91471	39202
700	91528	39039
701	91579	38875
702	91631	38712
703	91689	38551
704	91750	38392
705	91817	38235
706	91878	38077
707	91947	37921
708	92007	37763
709	92065	37604
710	92134	37449
711	92193	37291
712	92254	37134
713	92318	36978
714	92377	36821
715	92447	36669
716	92503	36511
717	92556	36352
718	92613	36195
719	92670	36038
720	92721	35879
721	92779	35724
722	92845	35571
723	92900	35415
724	92958	35260
725	93005	35101
726	93062	34946
727	93122	34793
728	93185	34640
729	93252	34490
730	93307	34335
731	93370	34184
732	93427	34031
733	93486	33879
734	93545	33727
735	93607	33576
736	93660	33422
737	93715	33270
738	93777	33120
739	93858	32977
740	93937	32833
741	94015	32689
742	94092	32546
743	94163	32400
744	94208	32245
745	94258	32093
746	94316	31943
747	94364	31791
748	94428	31644
749	94480	31493
750	94540	31345
751	94596	31196
752	94654	31048
753	94714	30901
754	94778	30755
755	94841	30610
756	94912	30467
757	94971	30320
758	95029	30174
759	95087	30027
760	95141	29880
761	95202	29735
762	95268	29591
763	95331	29447
764	95387	29302
765	95456	29160
766	95514	29015
767	95570	28870
768	95627	28725
769	95691	28583
770	95751	28439
771	95803	28294
772	95857	28149
773	95914	28006
774	95969	27861
775	96024	27718
776	96096	27579
777	96158	27438
778	96227	27299
779	96280	27156
780	96338	27014
781	96401	26873
782	96455	26731
783	96508	26589
784	96566	26448
785	96620	26306
786	96670	26163
787	96731	26024
788	96799	25886
789	96861	25747
790	96920	25608
791	96989	25472
792	97051	25333
793	97118	25197
794	97177	25058
795	97243	24921
796	97299	24782
797	97370	24647
798	97425	24508
799	97479	24369
800	97535	24231
801	97598	24095
802	97648	23956
803	97704	23818
804	97764	23682
805	97819	23544
806	97878	23408
807	97951	23275
808	98085	23157
809	98146	23021
810	98246	22895
811	98306	22760
812	98366	22625
813	98425	22490
814	98485	22355
815	98537	22219
816	98593	22083
817	98649	21948
818	98710	21815
819	98773	21681
820	98832	21548
821	98891	21414
822	98947	21280
823	98999	21145
824	99059	21012
825	99120	20880
826	99179	20747
827	99230	20613
828	99304	20483
829	99362	20351
830	99421	20219
831	99497	20090
832	99562	19960
833	99631	19830
834	99688	19698
835	99750	19568
836	99816	19438
837	99873	19307
838	99928	19175
839	99991	19045
840	100044	18914
841	100106	18784
842	100189	18659
843	100324	18543
844	100451	18425
845	100525	18298
846	100597	18171
847	100651	18041
848	100717	17913
849	100777	17784
850	100834	17654
851	100886	17524
852	100939	17395
853	100998	17266
854	101058	17138
855	101116	17010
856	101177	16882
857	101227	16753
858	101312	16629
859	101373	16502
860	101444	16377
861	101524	16253
862	101579	16125
863	101639	15998
864	101694	15871
865	101759	15745
866	101828	15620
867	101910	15497
868	101969	15371
869	102032	15246
870	102108	15122
871	102172	14997
872	102233	14872
873	102292	14746
874	102352	14621
875	102402	14495
876	102468	14371
877	102548	14249
878	102606	14124
879	102661	13999
880	102715	13874
881	102770	13749
882	102847	13627
883	102903	13503
884	102977	13381
885	103041	13258
886	103119	13137
887	103185	13014
888	103238	12890
889	103300	12767
890	103366	12645
891	103418	12521
892	103487	12399
893	103572	12280
894	103641	12159
895	103696	12036
896	103751	11913
897	103830	11793
898	103920	11675
899	103987	11554
900	104042	11431
901	104096	11309
902	104148	11187
903	104204	11065
904	104278	10946
905	104338	10825
906	104389	10703
907	104441	10582
908	104496	10461
909	104549	10340
910	104605	10219
911	104663	10099
912	104723	9979
913	104779	9858
914	104832	9738
915	104903	9619
916	104968	9500
917	105025	9381
918	105083	9262
919	105136	9142
920	105191	9022
921	105250	8904
922	105318	8786
923	105385	8668
924	105443	8549
925	105503	8431
926	105562	8312
927	105617	8194
928	105684	8077
929	105744	7959
930	105800	7841
931	105859	7723
932	105915	7605
933	105969	7488
934	106040	7371
935	106100	7254
936	106156	7137
937	106210	7020
938	106267	6903
939	106328	6786
940	106379	6669
941	106448	6554
942	106506	6437
943	106579	6322
944	106636	6206
945	106698	6090
946	106763	5975
947	106835	5860
948	106895	5744
949	106959	5629
950	107021	5514
951	107079	5398
952	107139	5283
953	107223	5170
954	107277	5054
955	107339	4940
956	107402	4825
957	107470	4711
958	107523	4596
959	107576	4482
960	107633	4368
961	107723	4255
962	107793	4141
963	107862	4028
964	107940	3914
965	108023	3802
966	108094	3688
967	108182	3576
968	108266	3463
969	108347	3350
970	108459	3239
971	108529	3126
972	108588	3013
973	108642	2900
974	108703	2787
975	108780	2674
976	108858	2562
977	108919	2450
978	108987	2337
979	109045	2225
980	109110	2113
981	109162	2000
982	109219	1888
983	109275	1776
984	109333	1664
985	109403	1553
986	109465	1441
987	109511	1330
988	109564	1218
989	109635	1107
990	109700	996
991	109758	885
992	109816	774
993	109865	663
994	109914	552
995	109964	441
996	110043	331
997	110120	220
998	110185	110
999	110265	0
193	6582
961	162292	6410
962	162382	6238
963	162492	6068
964	162591	5897
965	162691	5726
966	162795	5555
967	162892	5384
968	162996	5214
969	163096	5044
970	163197	4874
971	163314	4704
972	163398	4534
973	163495	4364
974	163581	4194
975	163664	4024
976	163759	3855
977	163856	3685
978	163937	3516
979	164016	3347
980	164099	3178
981	164184	3009
982	164266	2840
983	164359	2672
984	164439	2504
985	164540	2336
986	164620	2168
987	164721	2000
988	164804	1833
989	164894	1665
990	164978	1498
991	165067	1331
992	165164	1164
993	165232	997
994	165309	830
995	165390	664
996	165482	497
997	165561	331
998	165649	165
999	165736	0
7
983	186175	3027
984	186273	2836
985	186365	2646
986	186469	2456
987	186570	2266
988	186669	2076
989	186762	1886
990	186849	1696
991	186954	1507
992	187052	1318
993	187166	1129
994	187278	941
995	187372	752
996	187470	564
997	187577	375
998	187672	187
999	187774	0
8627	3210
989	288748	2916
990	288869	2623
991	289000	2330
992	289135	2038
993	289257	1746
994	289373	1454
995	289498	1162
996	289627	871
997	289767	580
998	289884	290
999	290033	0
